,Q1,Q1.5a,Q2,Q2.5a,Q2.5b,Q3,Q4,Q5,Q6,Q7,Q8 (modern)
B161_mean,-1.8120742283683384,-1.7404173903980846,-1.777724791024102,-1.842827356633951,-1.8214554034648196,-1.7616386203632486,-1.641156252503853,-1.9083427999382232,-1.7708578030147961,-1.8936124638609584,-1.989631350616865
B162_mean,-1.600185404220932,-1.53043312295087,-1.5419398463277822,-1.6363369568905737,-1.6211314613766574,-1.4431107588190821,-1.4219436879984477,-1.6663201000807248,-1.5290904193171713,-1.658173852768153,-1.735938861714109
B163_mean,-1.4510247700202477,-1.382681751753141,-1.424147058655991,-1.5016692885166094,-1.4534057641535696,-1.4333737552793597,-1.2706323374765622,-1.5284210310086757,-1.399961060060278,-1.5194142944045848,-1.5970079090497997
B164_mean,-0.16474853096261458,-0.079110808935572,-0.15571015539657765,-0.23596362967728898,-0.16605053854107896,-0.12718688405280684,0.041550682752295384,-0.23559106480073183,-0.09759139664901886,-0.22285460619064126,-0.2827966381622844
B165_mean,0.5364498932768264,0.6074599574009801,0.5850352892603154,0.5061032492694054,0.5342491641574859,0.625308789844403,0.704287736844877,0.5357323850683036,0.6406085329982876,0.5365220079533131,0.5281203417160782
B166_mean,0.8468354838596002,0.9084200812095198,0.8723539874677461,0.8058661116029154,0.8897007299569022,0.8589122952561641,0.94526066178075,0.8447480853312579,0.9202470701196306,0.8507126785168817,0.8375806419143891
B167_mean,0.9741819857465469,1.010847792246838,0.9948626297871465,0.9426641703379647,1.01344034571462,1.021304571206052,1.0519067675227276,0.9938757845346863,1.056939481429898,0.9980818933226349,0.9994577879988661
B168_mean,1.340574468093673,1.3723416977110445,1.3265683973208138,1.2474713771717005,1.3858989651189844,1.1893123916699375,1.4335519253849776,1.3097879902429765,1.3844799501587561,1.3192623919340094,1.272467957029932
B169_mean,0.46444849710312003,0.5846090630767444,0.45545497008216634,0.32042272394468274,0.5396532245036949,0.24243286269332992,0.6996387572424433,0.34843846127160544,0.4811101280686911,0.3730292195300132,0.254998953857255
B170_mean,0.6960953583933089,0.8145187911676327,0.7398349767733579,0.5539949392480823,0.6690517617922903,0.7464539186344312,0.9582893012624822,0.6369198336195753,0.8004313435334894,0.6281726421700299,0.5678291337943603
